words	syl_seq	syls
quartet	1000100	2
dustcart	10001000	2
gtd	100	1
sinatra	1010100	3
bemis	10100	2
carelessness	100010001000	3
irk	100	1
volta	10010	2
perkish	1000100	2
deionize	10110100	4
parral	100100	2
scleritic	100010010	3
philibert	100011000	3
disjoin	1001000	2
palki	10010	2
self-estimation	100001010101000	5
transpiration	1000100101000	4
hoopwood	10001000	2
cristophe	100010000	2
forma	10010	2
prolabor	10010100	3
agitator	10110100	4
leitchfield	10000010000	2
focus	10100	2
svizzera	10001010	3
seminomata	1001101010	5
sulfonic	10010010	3
sneaker	1000010	2
synd	1000	1
giveable	10001100	3
dreamlike	100001000	2
mordacious	1001010000	3
tiny	1010	2
sangallensis	100100010100	4
dyslexia	10010011	4
wedgwood	10001000	2
idiograph	101110000	4
qktp	1000	1
fraternization	10001010101000	5
joviality	101010110	5
pedicle	1001100	3
denier	100100	2
intramolecular	10100101001100	6
bionomically	101100110010	6
remarkable	1010001100	4
represser	101000010	3
knowable	10001100	3
sparger	1000010	2
wrong-headedness	1000001000101000	4
unwillingness	1010001001000	4
louse	10000	1
vinca	10010	2
recelebration	1010011001000	5
belitong	10101000	3
rizal	10100	2
dratting	10001000	2
jullundur	100100100	3
nondegeneracy	1001010010110	6
zigzaggedness	1001001001000	4
intercommunicability	10100100101010100110	9
gaborone	10011010	4
acanthopterygian	1010100010010110	7
disannuller	10010100100	4
sumptuously	10001010010	4
mussy	10001	2
lineup	100010	2
oakley	100100	2
crustal	1000100	2
syllogism	100101000	3
commotion	100101000	3
crenation	100101000	3
afterburning	101001000100	4
well-improvised	100001010010000	4
primitivistic	1000110010100	5
suppositively	1001001100010	5
tessie	100100	2
halachot	10101000	3
carp	1000	1
fastigiums	1001001100	4
fhrer	10100	2
unsurliness	10100101000	4
wareroom	10001000	2
unlegislated	101001010010	5
lemniscate	1001001000	3
electrobiology	11001001010110	7
prepackage	1001000100	3
unentangling	101010010000	4
hifalutin	101010100	4
leatherworker	1000010100010	4
ratty	10010	2
cableway	10100100	3
brawlys	1000100	2
dormobile	100101000	3
doxological	10011001100	5
kazak	10100	2
separably	100110100	4
tuitionary	1011000101	5
mengtsu	1000100	2
rimsky-korsakov	100100010010100	5
noncreditor	10010001100	4
operculum	110010100	4
neck	1000	1
rheumiest	100001100	3
vereeniging	10100101000	4
uneffusive	1010101000	4
hyperbolical	101001001100	5
applaud	1010000	2
submatrix	100101000	3
undivinable	10101001100	5
pakistan	10101000	3
chignons	10010000	2
littb	10000	1
palaeobotany	100101100110	6
nonuse	100100	2
ostracize	101001000	3
pirate	101000	2
prediscontent	1001001001000	4
requiter	10100010	3
haemon	100100	2
biassed	1010000	2
riping	100100	2
lamaism	1010100	3
inflatedness	101000101000	4
endodermal	1010100100	4
deplorability	1010001100110	6
interclavicular	101001001001100	6
mariupol	10101100	4
cymatium	10101010	4
irreversibly	101010001100	5
commix	100100	2
myth	1000	1
chondritic	1000100010	3
lecheries	100010100	3
bohuslav	10101000	3
kas	100	1
lman	1100	2
mute	1000	1
pearlised	100001000	2
trichonympha	100001100100	4
ashman	100100	2
starchless	1000001000	2
swastikaed	1000101000	3
animalist	101100100	4
catalin	1001100	3
supertragedy	101001000110	5
bunny	10010	2
lignocellulosic	100101001010010	6
catechumenically	1001100100110010	7
rekindle	10100100	3
unaffable	101010100	4
thumbtack	100001000	2
unforeseeable	1010001001100	5
unlabializing	1010101010100	6
origo	10110	3
dirigo	101010	3
conjugator	1001010100	4
tallinn	1001000	2
grittiness	1000101000	3
sibilant	10011000	3
stereoscopist	1000110101000	5
centerpunch	10010010000	3
unsatisfactory	10100101001010	6
overvary	11001001	4
gerontologist	1001010011000	5
pya	100	1
quasi-truthful	10010010000100	4
ligroine	10010100	3
styloid	1001000	2
esterification	10100110101000	6
inconvertibly	1010010001100	5
unshod	101000	2
hieronymus	1011010100	5
downbeat	10001000	2
piefort	1011000	3
imploded	10100010	3
peritoneum	1001101010	5
countrified	10001001000	3
inn	100	1
twirp	10000	1
mercaptopurine	10010010101000	5
adherend	10100100	3
brimo	10010	2
pleiotaxis	1000110010	4
komura	101010	3
bureaucracy	10100010010	4
exodos	101100	3
marcion	1001000	2
penultima	101001010	4
prefamous	100101000	3
duopsony	10101010	4
assistance	1010010000	3
stanza	100010	2
underspent	1010010000	3
two-dimensionally	10001010010001010	6
mercurialising	10010101010100	6
unmagnetical	101001001100	5
sacramentalism	10010100100100	5
dementia	10100100	3
miladi	101010	3
subsewer	10010010	3
voluminously	101010100010	5
carburation	10010101000	4
levis	10100	2
undercrest	1010010000	3
hydrostat	101001000	3
reedbird	10001000	2
unextenuating	1010100110100	6
inimicality	10101100110	6
ethnarch	10010000	2
kibbutzim	100100100	3
selfsustainingly	1000100100010010	5
baconism	10101000	3
hedgehopped	10000100000	2
herry	10010	2
dostoevsky	1001010100	4
samoyedic	100110010	4
moissan	1000100	2
enclave	1010000	2
carpophorus	10010001100	4
mesenteronic	100101001010	5
bullionism	1001000100	3
asir	1100	2
exudation	101101000	4
prefabricator	1001001010100	5
loiterer	10010010	3
unmethodical	101010001100	5
blamer	100010	2
outguard	10010000	2
dsc	100	1
argued	101000	2
postdiphtheritic	1000100010010010	5
subsoil	1001000	2
thae	1000	1
oriflamme	101100000	3
strowing	10000100	2
reoxidise	101011000	4
emyrie	101000	2
homologate	1010011000	4
nappanee	10010100	3
larousse	10100000	2
communications	10010101010000	5
insertion	101001000	3
six	100	1
comores	1010000	2
nonumbilical	100101001100	5
proventriculus	10010010001100	5
anticynicism	101010011000	5
nonsonant	100101000	3
overdoing	110010100	4
nonviability	100101100110	6
subdated	10010010	3
anti-idealist	1010011010100	6
hyperesthete	101001010000	4
supernotable	101001010100	5
mamaroneck	1010011000	4
throaty	1000001	2
worshipingly	100100010010	4
mollycoddler	100101001000	4
nonexhaustive	1001010001000	4
methylator	1000101100	4
argolis	1010100	3
guillotine	1000101000	3
postelection	100011001000	4
cormorant	100101000	3
tartarize	100100100	3
evaporatively	1100110100010	6
abattis	1010100	3
jinks	10000	1
floccillation	1000100101000	4
heterogamous	100101011000	5
impersonalization	10100100101101000	7
lustiness	100011000	3
presubordinate	10010010101000	5
coleopterous	101010100100	5
orbiculate	1010011000	4
holland	1001000	2
florencita	1001001010	4
gruffish	10000100	2
chronologically	100001100110010	6
pellagra	10010100	3
dayanim	1010100	3
overspecialization	110010010001101000	7
compton-burnett	100010001001000	4
mdse	1000	1
abhominable	10100110100	5
unconcealing	101001000100	4
isodiametric	110101100100	6
cost-effective	10000101001000	4
interdigitate	1010010011000	5
stromboli	100001010	3
antidomestic	101010100100	5
postcartilaginous	10001001010011000	6
pitilessly	1001100010	4
pronounceable	1001000001100	4
avower	110010	3
ungroomed	101000000	2
uncus	10100	2
niflheim	10101000	3
idealistic	1101010100	5
overplow	11001000	3
assistor	10100100	3
superfort	101001000	3
downcastness	100010001000	3
autograph	101010000	3
ipecacuanha	10110011010	6
carlyne	1001000	2
northeastern	100001000100	3
damping	1000100	2
brutify	1001010	3
ultracentrifugally	101001001000110010	7
wady	1010	2
befitted	10100100	3
wraac	10000	1
bobbery	1001001	3
potawatomi	1001100110	5
francesco	100010010	3
cockneyfication	100010010101000	5
glandularly	10001010010	4
outstaturing	100100010100	4
pemican	1001100	3
ronkonkoma	1001001010	4
distractive	10010001000	3
petit-bourgeois	101000100010000	4
uigur	10100	2
underisible	10101001100	5
premillennialising	100100100101010100	7
gunpoint	10010000	2
vomica	100110	3
sland	11000	2
cordiale	10010000	2
perioeci	10011010	4
equilibratory	1100011001010	6
jellifying	1001010100	4
stridulate	1000011000	3
huffish	1000100	2
unlanguid	101001000	3
unapproachable	10101000001100	5
carboyed	10010000	2
abstrusely	1010000010	3
unguessed	101000000	2
anticommerciality	10101001001010110	8
overappraise	110010100000	4
oversecurity	110010101010	6
papacy	101010	3
cachinnation	100010101000	4
lydda	10010	2
self-exaltation	100001010101000	5
theodorakis	10011010100	5
frigate	1000100	2
unadulating	10101100100	5
mancunian	100101010	4
grisons	1001000	2
footslog	10001000	2
fragmentizing	1000100010100	4
raspingness	10001001000	3
reigate	1001000	2
gautama	1001010	3
metaxylem	100110100	4
camerae	1001010	3
subcity	1001001	3
ryurik	100100	2
conversely	1001000010	3
miscreate	100100100	3
designment	1010001000	3
figurally	100101010	4
fructed	1000010	2
imagerial	101101010	5
saraband	10011000	3
semiweekly	1001100010	4
trinacria	100101001	4
incorporeity	101001010110	6
badb	1000	1
court-bouillon	10000010000100	3
boogeyman	100100100	3
hammerfest	1001001000	3
manchet	1001000	2
bowsprit	10010000	2
piquing	1000100	2
umbilici	10100110	4
bishopbird	1000101000	3
becomingly	1010010010	4
ear	100	1
churchwoman	10000010010	3
chapfallen	1000100010	3
asexualized	11001101000	5
capillary	101001001	4
impregnableness	101000101001000	5
marduk	100100	2
geometrized	10101100000	4
brigandism	1000100100	3
application	10100101000	4
airlike	1001000	2
non-bolshevistic	1000100100100100	5
warner	100100	2
eudora	101010	3
insaneness	1010001000	3
tasteless	100001000	2
moonshot	10001000	2
chasteningly	100010010010	4
combativeness	1001001001000	4
gumwood	1001000	2
interspecial	101001001000	4
hydrus	101000	2
outfeast	10010000	2
predischarge	100100100000	3
unstartled	1010001000	3
didnt	10010	2
duero	10010	2
casimire	10011000	3
acrosporous	10101001000	4
outwasting	1001000100	3
mawson	100100	2
veadar	101100	3
expectorator	101001010100	5
incomputably	101001001100	5
quasi-obedient	10010011010100	6
pama-nyungan	101001000100	4
cotehardie	1000100100	3
satyric	1010010	3
arthrectomy	10100001010	4
unpertinent	10100101000	4
unsightliness	1010000101000	4
declared	10100000	2
nonpracticability	10010001010100110	7
contiguously	100100110010	5
unexpeditable	1010101001100	6
bearbush	10001000	2
quasi-periodically	100100101010110010	8
ancius	101010	3
stray	10000	1
reflow	101000	2
yellow	100100	2
lemont	101000	2
nonintelligent	10010100101000	5
cella	10010	2
militiaman	1010100100	4
aubretia	10100100	3
tolbert	1001000	2
niv	101	2
dioxan	101010	3
hypersensitised	101001001010000	5
hoylake	1001000	2
nannoplankton	1001010000100	4
self-divided	100001010010	4
drenthe	1000100	2
rebecca	1010010	3
precitation	10010101000	4
gave	1000	1
salts	10000	1
chiseling	100010100	3
souk	1000	1
retracing	101000100	3
phalanx	1000100	2
unbating	10100100	3
uncropped	101000000	2
civetlike	100101000	3
valour	100100	2
teleutosorus	101001010100	5
quasi-depressed	100100101000000	4
bye-election	100011001000	4
pentasyllable	1001010010100	5
selena	101010	3
accusing	10100100	3
erg	100	1
trace	10000	1
disinclining	100101000100	4
cotemporary	10100101001	5
godolias	10011010	4
pochette	10100000	2
achaemenes	1100010100	4
provostship	10001001000	3
outpaced	10010000	2
lausanne	10010000	2
untasting	101000100	3
true-heartedness	1000010000101000	4
arcas	10100	2
cloquet	1001000	2
reguided	10100010	3
overcontrol	11001001000	4
palatalized	10011001000	4
urogenous	110011000	4
heteroauxin	10010110010	5
undone	101000	2
slickly	1000010	2
soyinka	1001010	3
maenad	100100	2
capitalisation	10011001101000	6
theologian	1001101010	5
homolecithal	101010011000	5
metaphysics	10011000100	4
matthias	10010010	3
laterally	100101010	4
nonmucous	100101000	3
proletarizing	1001010010100	5
featurette	1001001000	3
precopy	1001001	3
actuated	10101010	4
perchlorinating	100100010100100	5
hadnt	10010	2
toughy	100001	2
nonvindicable	1001001010100	5
nonmigratory	100101001010	5
bolsheviki	1001001001	4
immunize	10101000	3
aegeria	1010101	4
low-water	100010100	3
preminence	1001110000	4
cither	100010	2
incumbent	101001000	3
ullur	10010	2
saugerties	1001001000	3
nonvoting	100100100	3
premixer	10010010	3
heterosexual	100101100110	6
dulcifying	1001010100	4
gastroschisis	1001000100100	4
bumblefoot	1001001000	3
equivocatingly	11000110010010	6
cedreatis	100101100	4
discalced	100100000	2
mentonnires	10010010000	3
demonstrative	1010010001000	4
enflaming	101000100	3
docket	100010	2
caramel	1001100	3
behrman	1000100	2
uncontributive	10100100011000	5
exalted	1010010	3
analyser	10110010	4
ostracizable	101001001100	5
mesogastric	10011001000	4
reconditeness	1001010001000	4
crack	10000	1
overlapped	1100100000	3
overconsume	11001001000	4
nonimperialistically	10010101010101010010	9
conglobately	100100100010	4
serapeum	10011010	4
chinbeak	10001000	2
undiametrical	1010110010100	6
unabdicative	101010101000	5
nowise	101000	2
corniced	10010000	2
formulising	10010100100	4
puddler	1001000	2
diaper	101100	3
tamesada	10101010	4
perruquier	1001010000	3
unsophistic	10101000100	4
meet	1000	1
solfeggio	100100101	4
hypostomial	10101001010	5
legatine	10011000	3
reanointment	101100001000	4
tradership	1000101000	3
unsupplicating	10100100100100	5
airman	100100	2
cineradiography	100110101010100	7
aphorismatic	100110010010	5
fabliau	1001010	3
moonshiny	100010001	3
unjocose	10101000	3
llano	10010	2
vicar-generalship	10010010010101000	6
towanda	1010010	3
exploring	101000100	3
overiodize	1100111000	5
egal	1100	2
bokharan	10100100	3
poem	1010	2
salicin	1010100	3
ophiologist	10011011000	5
postgenial	1000100100	3
colporteur	1001001000	3
unrancored	1010010000	3
unsplittable	101000010100	4
semirussian	10010001000	3
goldeye	1000100	2
animalic	10110010	4
electrical	1100100100	4
bisayan	1010100	3
pytheas	1000110	3
noninheritability	10010100101100110	8
mistiest	10001100	3
prejudge	10010000	2
whiting	1000100	2
castilla	10010010	3
garboard	10010000	2
ceremoniously	1001101010010	6
stolonate	100100100	3
bylaw	10100	2
wiring	100100	2
bovinity	10100110	4
intitle	1010100	3
half-intellectual	10000101001001010	6
ernaline	10101000	3
busybodies	1001100100	4
graphitic	100100010	3
russetlike	1001001000	3
pupiparous	1010011000	4
nonprofprossed	10010001000000	3
epoch-making	101000100100	4
shrewishly	1000010010	3
slowdown	10001000	2
boyoma	101010	3
merton	100100	2
romance	1010000	2
haircutter	1000100100	3
asomatous	110101000	4
capitaliser	10011001010	5
insist	101000	2
clot	1000	1
republication	1010010101000	5
tweezer	1000010	2
navicula	10100110	4
lightless	100001000	2
pilpulist	100100100	3
predicrotic	10010100010	4
rhodesoid	100101000	3
triumvir	10010100	3
grandmamma	1000010010	3
hyperaesthesia	10100100100100	5
antiquarian	10101000110	5
grana	10010	2
quasi-contrary	10010010010010	5
surfacer	10010010	3
racialism	101000100	3
otway	10100	2
jutish	100100	2
polynucleate	100110100100	5
clearable	100001100	3
liftoff	1000100	2
putrescibility	10100010100110	6
encouraged	1010001000	3
appendancy	1010001010	4
cytost	101000	2
ability	1100110	4
overcunning	11001001000	4
crestless	100001000	2
ennius	101010	3
abstraction	10100001000	3
mythopoeia	1000110010	4
pontocaine	1001010000	3
rapt	1000	1
inflammatorily	10100010101010	6
gilded	100010	2
sunnier	1001010	3
preaffirmative	10010100011000	5
eriboea	1011001	4
logrono	1010010	3
prereckon	100100010	3
vex	100	1
unalliterated	1010100101010	6
drillbit	10000100	2
foolhardily	10001001010	4
crosswort	100001000	2
undilative	1010101000	4
paisley	1000100	2
buddhistical	100100010100	4
antiphilosophy	10101001001100	6
nonmetrical	10010010100	4
relucent	10101000	3
concelebration	10010011001000	5
cleverly	10001010	3
reredos	1000100	2
knack	10000	1
leavis	100100	2
pulpiter	10010010	3
haemagglutinin	10010010010100	5
superstage	1010010000	3
unrevealed	1010100000	3
chromospheric	1000101000010	4
coordinal	101010100	4
dot	100	1
marvellousness	10010010001000	4
revivify	10100110	4
formulization	1001010101000	5
amphogenic	1010010010	4
carbonaro	100101010	4
marigene	10011000	3
overelegant	11001011000	5
viewy	10001	2
pseudoamateurish	1000101011000100	6
saturnian	101001010	4
overcontented	1100100100010	5
buffer	100010	2
scotchman	100000100	2
simulacral	1001101000	4
otologist	110011000	4
barmecide	100101000	3
blazonry	10010010	3
pacificist	1010011000	4
wanter	100010	2
remise	101000	2
armiger	1010100	3
timework	10001000	2
stranglehold	100001001000	3
wavelike	10001000	2
microminiaturisation	10100100101001101000	8
superaccurate	1010010101000	5
aeronautically	10011001010010	6
shepherds	100010000	2
cronian	1001010	3
candying	10010100	3
bandiness	100101000	3
interwinding	101001000100	4
preresponsibility	10010100010100110	7
carothers	101000100	3
varolii	1010101	4
wrecker	1000010	2
subsidiaries	100100110100	5
unatmospheric	1010100100010	5
eternised	110010000	3
kinescoping	10011000100	4
upsweeping	1010000100	3
apneic	101010	3
nonsedentariness	1001001010011000	6
criticisingly	1000110010010	5
undercapitalized	1010010011001000	6
anticyclone	10101010000	4
uninfinite	1010101000	4
parliament	1001001000	3
single-barrel	1001000100100	4
mouldywarp	1000011000	3
kephalin	10001100	3
nonpreparation	10010001101000	5
prosopopoeia	100011010010	5
augmentation	100100101000	4
supertotal	1010010100	4
scalp	10000	1
noted	10010	2
outkill	1001000	2
chapeau	1001000	2
crossbreed	1000010000	2
mysticality	10010100110	5
esotropia	101100101	5
unlanguishing	1010010000100	4
soricine	10011000	3
helmless	10001000	2
noncompetitive	10010010011000	5
northeastward	1000010001000	3
nonaltruistic	1001010010100	5
nontenurial	10010011010	5
reestablish	10101001000	4
ecumenist	101101000	4
anisaldehyde	101010101000	5
ninebark	10001000	2
relievedly	1010001010	4
groutiest	100001100	3
half-forgiven	1000010010010	4
defecated	100110010	4
sumi	1010	2
interhybridizing	1010010100010100	6
fidei	10101	3
nonexpeditious	10010101010000	5
nonfeebleness	1001001001000	4
tameableness	100011001000	4
bateleur	10101000	3
nonmitigative	1001001101000	5
crimsonness	10001001000	3
ochone	100100	2
unrecognized	101001010000	4
anatomy	1100110	4
stoicheiometric	100010001100100	5
bifurcation	10100101000	4
undercook	101001000	3
bennington	1001000100	3
cha-cha	1000100	2
reviviscency	100110010010	5
half-timbered	1000010010000	3
avonne	110000	2
notation	10101000	3
apteria	1010101	4
vicomtesse	1010010000	3
cask	1000	1
pinstripe	100100000	2
punkie	100010	2
bastnasite	1000100100	3
pitt	1000	1
alpenstock	1010010000	3
melena	101010	3
elenctic	11000100	3
hydrostatic	10100100010	4
nonfermented	100100100010	4
pharmacological	100010101001100	6
soft-headedness	100001000101000	4
audiology	101010110	5
ulmaceous	101010000	3
riviere	1010100	3
unexplicated	101010010010	5
sailorlike	1000101000	3
intercreate	10100100100	4
recrystallization	10100010010101000	6
ungeographic	101011000010	5
exceedingly	10100010010	4
tactics	1001000	2
catalysis	101001100	4
albumose	10101000	3
oose	1000	1
pharmacopoeist	10001010100100	5
chicanery	100100101	4
uncontrastable	10100100001100	5
frazer	100100	2
undersawyer	10100100100	4
squabbler	100001000	2
epicureanism	101101010100	6
downwind	10001000	2
unattributive	1010100011000	5
faceable	10001100	3
foreignism	1001000100	3
butter-and-eggs	100100010001000	4
haggardly	100100010	3
loyde	10000	1
disputing	100100100	3
ovarian	1100110	4
overtire	11001000	3
melodion	10101010	4
hamsun	100100	2
gunmanship	1001001000	3
imponed	1010000	2
clocklike	100001000	2
deputised	100110000	3
clintonville	100010010000	3
synteresis	1001010100	4
adnation	10101000	3
cutinised	101001000	3
imperativeness	10100110001000	5
choler	100010	2
quillwort	100001000	2
antiparticle	101010010100	5
rat-tat	1000100	2
rathuser	10010100	3
zealous	1000100	2
lapper	100100	2
brushup	1000010	2
comportment	10010001000	3
supercongested	10100100100010	5
pune	1010	2
archipelagic	101001010010	5
lune	1000	1
coloradoan	1001100110	5
inlayer	1010010	3
posttubercular	10001010010100	5
wellspring	1000100000	2
overcontentment	110010010001000	5
overdid	1100100	3
coleoptile	1001101000	4
post-mendelian	10000100101010	5
hew	100	1
abuse	11000	2
overspeed	110010000	3
goddamn	1001000	2
abbreviated	10100101010	5
eater	10010	2
honduran	10010100	3
germanous	100100100	3
julienne	10101000	3
serene	101000	2
solti	10010	2
depreciatingly	10100101010010	6
milled	100000	1
claudette	100010000	2
nonethereal	10011001010	5
half-fascinating	1000010010100100	5
chefs-doeuvre	1000001000100	3
yah	100	1
contraindicating	1001001010100100	6
contractor	1001000100	3
nonvolitional	1001010100010	5
usurpative	1100011000	4
dishwasher	1000100010	3
bossiness	100011000	3
empestic	10100100	3
photonuclear	100101010010	5
goldstone	100010000	2
kerala	101010	3
wandoo	100100	2
urnlike	1001000	2
farrand	1001000	2
bloc	1000	1
realizable	1010101100	5
pawnee	100100	2
neo-classic	10101000100	4
suspired	10010000	2
alberti	1010010	3
metalled	10010000	2
psychotherapy	1001001000110	5
inefficient	10101010000	4
nonoccupation	1001010101000	5
depredate	100101000	3
theorize	10011000	3
sanely	100010	2
berit	10100	2
misreliance	10010101000	4
darius	101000	2
nonindependent	10010101000100	5
single-bank	10010001000	3
unstudied	101000100	3
diadromous	1010101000	4
unpsychotic	10100100010	4
whidah	100010	2
untouching	1010000100	3
subsulcus	100100100	3
puebla	100100	2
nondrinkable	100100001100	4
towelled	10010000	2
crow-pheasant	1000010000100	3
mesdemoiselles	10010100100000	4
decimalise	1001100100	4
ophitic	1100010	3
hippomenes	1001001100	4
misplay	1001000	2
remail	101000	2
gricault	11010000	3
chondrify	100010010	3
self-delight	100001010000	3
undersecretaries	1010010010100100	6
contingent	1001001000	3
hodding	1001000	2
shipless	10001000	2
comicality	1001100110	5
at-home	1001000	2
garrett	1001000	2
allocable	101010100	4
overage	1100100	3
overcentralizing	1100100100010100	6
melas	10010	2
weisshorn	100001000	2
mousetrap	100001000	2
reignite	10101000	3
deathly	1000010	2
feudalism	100100100	3
prevertebral	100100101000	4
vulgar	100100	2
bloomsbury	1000001001	3
commonplacely	1001001000010	4
nondispersive	1001001001000	4
remontant	101001000	3
saishuto	10010010	3
abisag	101100	3
blastosphere	100010100000	3
extemporaneousness	101001010101001000	7
showiness	100011000	3
gelatinated	10100110010	5
unpurgeable	10100001100	4
answerability	1010001100110	6
hyperkalemic	101001010100	5
vinson	100100	2
unstinging	1010000100	3
revitalise	1010100100	4
fuoco	10110	3
reconfiscating	10100100100100	5
swabia	100101	3
dysphasic	100100100	3
portly	100010	2
previgilance	100100110000	4
submissive	1001001000	3
diaphaneity	10100110110	6
venom	10010	2
hayseed	1001000	2
hypochondrium	1010100010010	5
deontology	1010100110	5
ndienne	1100000	2
mesmeriser	1001001010	4
interassure	10100101000	4
supergrant	1010010000	3
enhearten	101000010	3
hercyna	1001010	3
crestview	100001000	2
parking	1000100	2
interveinous	101001000100	4
convincedness	1001000101000	4
sokeman	1000100	2
supplicated	10010010010	4
tzepo	10010	2
grapheme	10000100	2
legitimization	10100110101000	6
faux-monnayeurs	100001001001000	4
womanishly	1001010010	4
underpropper	101001000100	4
pigmeat	1001000	2
vegetate	10011000	3
balsaminaceous	10010101010000	5
unaffableness	1010101001000	5
seatless	10001000	2
pervading	100100100	3
overhard	11001000	3
sirop	10100	2
talianizer	1001001010	5
paradise	10011000	3
recall	101000	2
preimbibe	100101000	3
plainview	100001000	2
corporation	10010011000	4
carousingly	10100010010	4
skindipt	10001000	2
reimposing	1010100100	4
racetrack	100010000	2
superinferred	1010010100000	4
reradiate	101010100	4
aportlast	110001000	3
prayerful	100000100	2
servian	1001010	3
angels-on-horseback	1010000100100001000	5
zombie	100100	2
strega	100010	2
mismaking	100100100	3
choirmaster	10000100100	3
uncountermanded	101000100100010	5
nonexistence	100101001000	4
unpagan	1010100	3
unsliding	101000100	3
adolescent	1011001000	4
unquizzical	10100010100	4
androgeus	101000110	4
cadastre	10100100	3
bedstraw	10010000	2
ensiling	10100100	3
sinus	10100	2
pumicing	10010100	3
denationalization	10101000101101000	7
nigh	1000	1
preact	100100	2
cormel	100100	2
radetzky	10100010	3
reinstruction	1010100001000	4
silicify	10100110	4
retuse	101000	2
scintillantly	1000100100010	4
vizirial	10100110	4
pontificated	100100110010	5
marheshvan	1001000100	3
touchline	100001000	2
zymology	10100110	4
electrocuted	110010010010	5
ophthalmometric	100100010100100	5
arnulf	101000	2
endemical	101001100	4
bedevil	1010010	3
understain	1010010000	3
unmakable	101001100	4
image	10100	2
chordophone	10001010000	3
gumboil	1001000	2
figurate	10010100	3
hydrolysation	1010010101000	5
keel	1000	1
ungrovelling	101000101000	4
ad	10	1
heteroecious	100101010000	4
cantatrice	1001010010	4
praetexta	100010010	3
la	10	1
undersaw	10100100	3
touristy	10001001	3
ingeniousness	1010010001000	4
sourpuss	10001000	2
paraffinizing	1001010010100	5
abiding	1100100	3
ungreedy	10100001	3
uniparous	110010100	4
dyad	1010	2
mantra	100100	2
pertinaciously	10010101000010	5
undertaking	10100100100	4
dortiness	100101000	3
anakim	101100	3
worryingly	1001010010	4
siderite	10010100	3
gascogne	10010000	2
maxillary	100101001	4
overpaid	11001000	3
tocher	100010	2
quasi-english	1001001001000	4
supercharged	101001000000	3
malignance	1010010000	3
nonclastic	1001000100	3
overdearly	1100100010	4
helicoid	10011000	3
straw	10000	1
steelmaking	10000100100	3
tovey	10100	2
triadelphous	100110010000	4
tubules	1001000	2
acroter	1010100	3
well-frequented	100001001000010	4
preconsumption	10010010001000	4
anticonvulsant	10101001001000	5
nonoptimistical	100101010010100	6
fluidics	10010100	3
perpent	1001000	2
hard-handed	10000100010	3
arshin	101000	2
colacobiotic	100110101010	6
jehovist	10101000	3
menuiserie	1010010100	4
collutoria	1001010101	5
shikari	1001010	3
dispauper	100100100	3
devotion	10101000	3
gaucheness	1000001000	2
gracelessness	1000010001000	3
levi	1010	2
aubrietia	101000100	3
politician	1001101000	4
grapy	10001	2
montclair	100010000	2
inlace	101000	2
pylas	10100	2
radiologic	1010110010	5
whirry	100010	2
caid	1010	2
gastrotomy	1001001010	4
disc	1000	1
neurosurgery	100101001001	5
concavo-convex	10010010100100	5
marilee	1001100	3
wandering	100100100	3
unsonantal	1010100100	4
sectionally	10010001010	4
preconcertedly	10010010001010	5
intown	101000	2
jutted	100100	2
convexedness	100100101000	4
unconcentrated	10100100100010	5
escartele	101001010	4
spezia	100100	2
nonfeatured	10010010000	3
self-impedance	10000101001000	4
prajadhipok	10010100100	4
quasi-continuous	1001001001001100	6
hotshot	1001000	2
metabiosis	1001101100	5
half-pleasing	1000010000100	3
psaltery	10001001	3
dubiously	101010010	4
camporee	10001100	3
gigantism	101001000	3
unbeaten	10100010	3
remiges	1001100	3
gruesome	10001000	2
feculence	100110000	3
gnawn	10000	1
hives	10000	1
athamas	1001100	3
apologetic	1100110010	5
epinaoi	1011010	4
lawson	100100	2
scienter	10010100	3
krans	10000	1
uneclectically	10101001010010	6
revest	101000	2
untorpid	10100100	3
self-education	10000101101000	5
pro-malayan	10001010010	4
quasi-stationary	1001001001000101	6
underagency	10100110010	5
favored	1010000	2
pozzolanic	1001010100	4
subectodermic	1001010100100	5
widdy	10010	2
subhymenium	10010101010	5
stillborn	100001000	2
bernardine	1001000100	3
overnoble	110010100	4
locate	101000	2
kinematics	1001100100	4
cultivator	1001010100	4
malignancy	1010010010	4
primogenital	100101001100	5
genuinely	100110010	4
unblinking	1010000100	3
preinsinuate	100101001100	5
feoffor	1000100	2
agglutinated	101001010010	5
manipulating	101001100100	5
self-endearing	10000101000100	4
symonds	1001000	2
ecumenicism	11010011000	5
magnetooptic	100101010100	5
classy	100001	2
overmitigate	110010011000	5
tearingly	100010010	3
exsiccative	10100101000	4
giddap	100100	2
interknotting	1010010001000	4
etiology	11010110	5
debunker	10100010	3
caryatidal	1001101100	5
euphonise	101000000	2
srael	11010	3
mycosozin	101010100	4
unchastisable	1010001001100	5
carrying-on	10010100010	4
organdie	10100100	3
repromising	10100010100	4
epigrammatise	1011000101000	5
saturnalian	10010101010	5
stagecoach	1000010000	2
unabutting	1011001000	4
overpromised	110010001000	4
half-developed	10000101001000	4
angulated	101010010	4
twenty-fifth	100010010000	3
nikethamide	10010011000	4
tensile	1001000	2
civilized	100110000	3
unobsessed	1010100000	3
noncausable	10010001100	4
bernoullis	1001000100	3
all	100	1
abortiveness	110010001000	4
inchoate	10100100	3
jymmye	100100	2
acclimatize	10100101000	4
dolgeville	1000010000	2
